Date,Name,Count,Length
01 May 2015,primary_link,15,0.58
01 May 2015,living_street,166,17.18
01 May 2015,service,7243,557.46
01 May 2015,track,16938,4877.65
01 May 2015,residential,14955,2326.55
01 May 2015,primary,678,616.64
01 May 2015,motorway,0,0.0
01 May 2015,road,655,204.02
01 May 2015,secondary_link,73,1.05
01 May 2015,path,13433,2133.39
01 May 2015,raceway,2,1.06
01 May 2015,unclassified,7224,5170.99
01 May 2015,tertiary,1112,788.5
01 May 2015,secondary,1016,1027.29
01 June 2015,primary_link,15,0.58
01 June 2015,living_street,166,17.18
01 June 2015,service,7246,557.46
01 June 2015,track,16956,4879.4
01 June 2015,residential,14966,2327.94
01 June 2015,primary,675,615.17
01 June 2015,motorway,0,0.0
01 June 2015,road,650,200.48
01 June 2015,secondary_link,73,1.05
01 June 2015,path,13442,2136.55
01 June 2015,raceway,2,1.06
01 June 2015,unclassified,7256,5183.59
01 June 2015,tertiary,1106,790.07
01 June 2015,secondary,1014,1019.84
01 July 2015,primary_link,15,0.58
01 July 2015,living_street,166,17.18
01 July 2015,service,7251,557.62
01 July 2015,track,16981,4884.49
01 July 2015,residential,14950,2325.31
01 July 2015,primary,671,613.98
01 July 2015,motorway,0,0.0
01 July 2015,road,643,197.18
01 July 2015,secondary_link,73,1.05
01 July 2015,path,13459,2146.95
01 July 2015,raceway,2,1.06
01 July 2015,unclassified,7278,5200.72
01 July 2015,tertiary,1099,790.76
01 July 2015,secondary,990,1016.33
01 August 2015,primary_link,15,0.58
01 August 2015,living_street,212,39.9
01 August 2015,service,7253,557.74
01 August 2015,track,17003,4889.59
01 August 2015,residential,14951,2325.18
01 August 2015,primary,698,645.18
01 August 2015,motorway,0,0.0
01 August 2015,road,642,197.15
01 August 2015,secondary_link,73,1.05
01 August 2015,path,13462,2148.61
01 August 2015,raceway,2,1.06
01 August 2015,unclassified,7307,5214.31
01 August 2015,tertiary,1101,789.53
01 August 2015,secondary,967,985.31
01 September 2015,primary_link,15,0.58
01 September 2015,living_street,213,39.98
01 September 2015,service,7255,558.01
01 September 2015,track,17016,4871.92
01 September 2015,residential,14955,2325.75
01 September 2015,primary,710,645.15
01 September 2015,motorway,0,0.0
01 September 2015,road,636,184.14
01 September 2015,secondary_link,73,1.05
01 September 2015,path,13465,2148.77
01 September 2015,raceway,2,1.06
01 September 2015,unclassified,7329,5227.52
01 September 2015,tertiary,1090,805.87
01 September 2015,secondary,989,979.37
01 October 2015,primary_link,15,0.58
01 October 2015,living_street,213,39.98
01 October 2015,service,7255,558.01
01 October 2015,track,17015,4871.73
01 October 2015,residential,14962,2329.33
01 October 2015,primary,714,644.18
01 October 2015,motorway,0,0.0
01 October 2015,road,636,184.14
01 October 2015,secondary_link,73,1.05
01 October 2015,path,13469,2148.85
01 October 2015,raceway,2,1.06
01 October 2015,unclassified,7324,5225.76
01 October 2015,tertiary,1091,805.87
01 October 2015,secondary,990,975.2
01 November 2015,primary_link,15,0.58
01 November 2015,living_street,213,39.98
01 November 2015,service,7238,559.06
01 November 2015,track,17213,4886.58
01 November 2015,residential,15066,2339.52
01 November 2015,primary,719,644.23
01 November 2015,motorway,0,0.0
01 November 2015,road,645,185.41
01 November 2015,secondary_link,73,1.05
01 November 2015,path,13442,2156.5
01 November 2015,raceway,2,1.06
01 November 2015,unclassified,7323,5224.28
01 November 2015,tertiary,1095,807.27
01 November 2015,secondary,989,975.22
01 December 2015,primary_link,15,0.58
01 December 2015,living_street,212,39.92
01 December 2015,service,7251,559.74
01 December 2015,track,17643,4898.01
01 December 2015,residential,15574,2363.27
01 December 2015,primary,720,644.38
01 December 2015,motorway,2,1.16
01 December 2015,road,634,186.47
01 December 2015,secondary_link,73,1.05
01 December 2015,path,13495,2158.92
01 December 2015,raceway,2,1.06
01 December 2015,unclassified,7345,5221.12
01 December 2015,tertiary,1099,810.2
01 December 2015,secondary,990,975.23
01 January 2016,primary_link,15,0.58
01 January 2016,living_street,219,40.15
01 January 2016,service,7259,560.89
01 January 2016,track,17514,4920.91
01 January 2016,residential,15730,2391.97
01 January 2016,primary,735,650.56
01 January 2016,motorway,2,1.16
01 January 2016,road,617,184.39
01 January 2016,secondary_link,71,0.92
01 January 2016,path,13574,2169.55
01 January 2016,raceway,2,1.06
01 January 2016,unclassified,7346,5228.62
01 January 2016,tertiary,1103,811.33
01 January 2016,secondary,991,969.2
01 February 2016,primary_link,15,0.58
01 February 2016,living_street,223,40.35
01 February 2016,service,7278,563.66
01 February 2016,track,17721,4940.33
01 February 2016,residential,15920,2413.64
01 February 2016,primary,744,651.6
01 February 2016,motorway,2,1.16
01 February 2016,road,743,206.03
01 February 2016,secondary_link,71,0.91
01 February 2016,path,13898,2237.7
01 February 2016,raceway,2,1.06
01 February 2016,unclassified,7367,5204.15
01 February 2016,tertiary,1121,843.6
01 February 2016,secondary,1003,971.68
01 March 2016,primary_link,15,0.58
01 March 2016,living_street,220,40.22
01 March 2016,service,7279,563.68
01 March 2016,track,17958,4971.22
01 March 2016,residential,15945,2416.16
01 March 2016,primary,737,632.72
01 March 2016,motorway,2,1.16
01 March 2016,road,883,226.92
01 March 2016,secondary_link,71,0.91
01 March 2016,path,14005,2258.29
01 March 2016,raceway,2,1.06
01 March 2016,unclassified,7384,5217.78
01 March 2016,tertiary,1129,845.35
01 March 2016,secondary,1020,995.24
01 April 2016,primary_link,18,0.62
01 April 2016,living_street,220,40.22
01 April 2016,service,7328,568.37
01 April 2016,track,18105,4989.25
01 April 2016,residential,16230,2463.11
01 April 2016,primary,743,640.02
01 April 2016,motorway_link,0,0.0
01 April 2016,motorway,2,1.16
01 April 2016,road,814,214.08
01 April 2016,secondary_link,70,0.8
01 April 2016,path,14076,2272.25
01 April 2016,raceway,2,1.06
01 April 2016,unclassified,7332,5208.38
01 April 2016,tertiary,1158,850.01
01 April 2016,secondary,1028,991.84
